datetime,Valor,Dia,Ano,Hora,Minuto,return-log
2015-08-15 12:00:00,9.302,15.0,2015.0,12.0,0.0,1.1316171421337955
2015-08-15 13:00:00,12.77,15.0,2015.0,13.0,0.0,0.31686923924254273
2015-08-15 14:00:00,18.639,15.0,2015.0,14.0,0.0,0.37815748970521845
2015-08-15 15:00:00,15.909,15.0,2015.0,15.0,0.0,-0.158371172926564
2015-08-15 16:00:00,7.747999999999999,15.0,2015.0,16.0,0.0,-0.719450241278353
2015-08-15 17:00:00,9.434,15.0,2015.0,17.0,0.0,0.19688543931732028
2015-08-15 18:00:00,16.816,15.0,2015.0,18.0,0.0,0.5780106292725256
2015-08-15 19:00:00,13.395999999999999,15.0,2015.0,19.0,0.0,-0.2273746592026371
2015-08-15 20:00:00,12.194,15.0,2015.0,20.0,0.0,-0.0940121274463337
2015-08-15 21:00:00,1.905,15.0,2015.0,21.0,0.0,-1.85646201890696
2015-08-15 22:00:00,7.0729999999999995,15.0,2015.0,22.0,0.0,1.3118027094751885
2015-08-15 23:00:00,4.468,15.0,2015.0,23.0,0.0,-0.4593438368468985
2015-08-16 00:00:00,4.279,16.0,2015.0,0.0,0.0,-0.043221543772274496
2015-08-16 01:00:00,28.506,16.0,2015.0,1.0,0.0,1.8963952539981594
2015-08-16 02:00:00,35.095,16.0,2015.0,2.0,0.0,0.20794407874954546
2015-08-16 03:00:00,26.115,16.0,2015.0,3.0,0.0,-0.29554880829412244
2015-08-16 04:00:00,16.045,16.0,2015.0,4.0,0.0,-0.4871125873264419
2015-08-16 05:00:00,9.231,16.0,2015.0,5.0,0.0,-0.5528298895538057
2015-08-16 06:00:00,7.564,16.0,2015.0,6.0,0.0,-0.19916723421180338
2015-08-16 07:00:00,2.391,16.0,2015.0,7.0,0.0,-1.1516884623200236
2015-08-16 08:00:00,6.0,16.0,2015.0,8.0,0.0,0.9200477807518673
2015-08-16 09:00:00,3.0,16.0,2015.0,9.0,0.0,-0.6931471805599452
2015-08-16 10:00:00,36.0,16.0,2015.0,10.0,0.0,2.484906649788
2015-08-16 11:00:00,3.0,16.0,2015.0,11.0,0.0,-2.484906649788
2015-08-16 12:00:00,3.0,16.0,2015.0,12.0,0.0,0.0
2015-08-16 13:00:00,2.985,16.0,2015.0,13.0,0.0,-0.005012541823544492
2015-08-16 14:00:00,4.731,16.0,2015.0,14.0,0.0,0.46053684980444576
2015-08-16 15:00:00,4.734,16.0,2015.0,15.0,0.0,0.0006339144427811583
2015-08-16 16:00:00,3.458,16.0,2015.0,16.0,0.0,-0.3140801238306934
2015-08-16 17:00:00,6.449,16.0,2015.0,17.0,0.0,0.6232346927671415
2015-08-16 18:00:00,8.925,16.0,2015.0,18.0,0.0,0.3249312476374626
2015-08-16 19:00:00,3.0,16.0,2015.0,19.0,0.0,-1.0902440389975931
2015-08-16 20:00:00,3.0,16.0,2015.0,20.0,0.0,0.0
2015-08-16 21:00:00,2.0709999999999997,16.0,2015.0,21.0,0.0,-0.3705807062546628
2015-08-16 22:00:00,16.107,16.0,2015.0,22.0,0.0,2.0512223776950953
